---------------------------------------------
NOTE: The Hardness and Resistance values are the raw base values in the fields
of the Block class in question. The actual final values may be different
for different states of the block, or they may depend on a TileEntity etc.
---------------------------------------------
Mod name, Registry name, Hardness, Resistance
---------------------------------------------
Alex's Mobs, alexsmobs:banana_peel, 0.20, 0.20
Alex's Mobs, alexsmobs:capsid, 4.50, 4.50
Alex's Mobs, alexsmobs:crocodile_egg, 0.50, 0.50
Alex's Mobs, alexsmobs:gustmaker, 4.50, 4.50
Alex's Mobs, alexsmobs:hummingbird_feeder, 3.00, 3.00
Alex's Mobs, alexsmobs:leafcutter_ant_chamber, 4.00, 4.00
Alex's Mobs, alexsmobs:leafcutter_anthill, 2.50, 2.50
Alex's Mobs, alexsmobs:void_worm_beak, 3.00, 3.00
Apotheosis, apotheosis:beeshelf, 1.50, 1.50
Apotheosis, apotheosis:blazing_hellshelf, 1.50, 1.50
Apotheosis, apotheosis:crystal_seashelf, 1.50, 1.50
Apotheosis, apotheosis:draconic_endshelf, 1.50, 1.50
Apotheosis, apotheosis:enchantment_library, 5.00, 1200.00
Apotheosis, apotheosis:endshelf, 1.50, 1.50
Apotheosis, apotheosis:glowing_hellshelf, 1.50, 1.50
Apotheosis, apotheosis:heart_seashelf, 1.50, 1.50
Apotheosis, apotheosis:hellshelf, 2.00, 10.00
Apotheosis, apotheosis:melonshelf, 1.50, 1.50
Apotheosis, apotheosis:pearl_endshelf, 1.50, 1.50
Apotheosis, apotheosis:prismatic_altar, 1.50, 10.00
Apotheosis, apotheosis:seashelf, 2.00, 10.00
Aquaculture 2, aquaculture:farmland, 0.60, 0.60
Aquaculture 2, aquaculture:neptunes_bounty, 3.50, 8.00
Aquaculture 2, aquaculture:neptunium_block, 5.00, 6.00
Aquaculture 2, aquaculture:tackle_box, 4.00, 5.00
Aquaculture 2, aquaculture:worm_farm, 0.60, 0.60
Atlantis, atlantis:algae, 0.20, 0.40
Atlantis, atlantis:ancient_acacia_wood_moss, 3.00, 6.00
Atlantis, atlantis:ancient_birch_wood_moss, 3.00, 6.00
Atlantis, atlantis:ancient_dark_oak_wood_moss, 3.00, 6.00
Atlantis, atlantis:ancient_jungle_wood_moss, 3.00, 6.00
Atlantis, atlantis:ancient_oak_wood_moss, 3.00, 6.00
Atlantis, atlantis:ancient_spruce_wood_moss, 3.00, 6.00
Atlantis, atlantis:aquamarine_ore, 3.00, 15.00
Atlantis, atlantis:atlantean_core, 3.00, 15.00
Atlantis, atlantis:atlantis_portal, 0.00, 0.00
Atlantis, atlantis:black_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:black_pearl_block, 2.00, 5.00
Atlantis, atlantis:block_of_aquamarine, 3.00, 15.00
Atlantis, atlantis:blue_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:blue_pearl_block, 2.00, 5.00
Atlantis, atlantis:brown_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:brown_pearl_block, 2.00, 5.00
Atlantis, atlantis:chiseled_golden_aquamarine, 3.00, 15.00
Atlantis, atlantis:chiseled_golden_block, 3.00, 15.00
Atlantis, atlantis:cyan_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:cyan_pearl_block, 2.00, 5.00
Atlantis, atlantis:gray_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:gray_pearl_block, 2.00, 5.00
Atlantis, atlantis:green_colored_shell_block, 3.00, 7.00
Atlantis, atlantis:green_pearl_block, 2.00, 5.00
