----------------------------------------------
Mod name, Registry name, Entity class name, ID
----------------------------------------------
Abnormals Core, abnormals_core:boat, com.minecraftabnormals.abnormals_core.common.entity.AbnormalsBoatEntity, 1004
Alex's Mobs, alexsmobs:alligator_snapping_turtle, com.github.alexthe666.alexsmobs.entity.EntityAlligatorSnappingTurtle, 737
Alex's Mobs, alexsmobs:bald_eagle, com.github.alexthe666.alexsmobs.entity.EntityBaldEagle, 759
Alex's Mobs, alexsmobs:blobfish, com.github.alexthe666.alexsmobs.entity.EntityBlobfish, 727
Alex's Mobs, alexsmobs:bone_serpent, com.github.alexthe666.alexsmobs.entity.EntityBoneSerpent, 701
Alex's Mobs, alexsmobs:bone_serpent_part, com.github.alexthe666.alexsmobs.entity.EntityBoneSerpentPart, 702
Alex's Mobs, alexsmobs:cachalot_echo, com.github.alexthe666.alexsmobs.entity.EntityCachalotEcho, 755
Alex's Mobs, alexsmobs:cachalot_whale, com.github.alexthe666.alexsmobs.entity.EntityCachalotWhale, 754
Alex's Mobs, alexsmobs:capuchin_monkey, com.github.alexthe666.alexsmobs.entity.EntityCapuchinMonkey, 718
Alex's Mobs, alexsmobs:centipede_body, com.github.alexthe666.alexsmobs.entity.EntityCentipedeBody, 721
Alex's Mobs, alexsmobs:centipede_head, com.github.alexthe666.alexsmobs.entity.EntityCentipedeHead, 720
Alex's Mobs, alexsmobs:centipede_tail, com.github.alexthe666.alexsmobs.entity.EntityCentipedeTail, 722
Alex's Mobs, alexsmobs:cockroach, com.github.alexthe666.alexsmobs.entity.EntityCockroach, 729
Alex's Mobs, alexsmobs:cockroach_egg, com.github.alexthe666.alexsmobs.entity.EntityCockroachEgg, 730
Alex's Mobs, alexsmobs:crimson_mosquito, com.github.alexthe666.alexsmobs.entity.EntityCrimsonMosquito, 710
Alex's Mobs, alexsmobs:crocodile, com.github.alexthe666.alexsmobs.entity.EntityCrocodile, 704
Alex's Mobs, alexsmobs:crow, com.github.alexthe666.alexsmobs.entity.EntityCrow, 736
Alex's Mobs, alexsmobs:dropbear, com.github.alexthe666.alexsmobs.entity.EntityDropBear, 751
Alex's Mobs, alexsmobs:elephant, com.github.alexthe666.alexsmobs.entity.EntityElephant, 732
Alex's Mobs, alexsmobs:emu, com.github.alexthe666.alexsmobs.entity.EntityEmu, 748
Alex's Mobs, alexsmobs:emu_egg, com.github.alexthe666.alexsmobs.entity.EntityEmuEgg, 749
Alex's Mobs, alexsmobs:endergrade, com.github.alexthe666.alexsmobs.entity.EntityEndergrade, 713
Alex's Mobs, alexsmobs:enderiophage, com.github.alexthe666.alexsmobs.entity.EntityEnderiophage, 757
Alex's Mobs, alexsmobs:enderiophage_rocket, com.github.alexthe666.alexsmobs.entity.EntityEnderiophageRocket, 758
Alex's Mobs, alexsmobs:fly, com.github.alexthe666.alexsmobs.entity.EntityFly, 705
Alex's Mobs, alexsmobs:frilled_shark, com.github.alexthe666.alexsmobs.entity.EntityFrilledShark, 766
Alex's Mobs, alexsmobs:gazelle, com.github.alexthe666.alexsmobs.entity.EntityGazelle, 703
Alex's Mobs, alexsmobs:gorilla, com.github.alexthe666.alexsmobs.entity.EntityGorilla, 709
Alex's Mobs, alexsmobs:grizzly_bear, com.github.alexthe666.alexsmobs.entity.EntityGrizzlyBear, 699
Alex's Mobs, alexsmobs:gust, com.github.alexthe666.alexsmobs.entity.EntityGust, 742
Alex's Mobs, alexsmobs:guster, com.github.alexthe666.alexsmobs.entity.EntityGuster, 740
Alex's Mobs, alexsmobs:hammerhead_shark, com.github.alexthe666.alexsmobs.entity.EntityHammerheadShark, 714
Alex's Mobs, alexsmobs:hemolymph, com.github.alexthe666.alexsmobs.entity.EntityHemolymph, 744
Alex's Mobs, alexsmobs:hummingbird, com.github.alexthe666.alexsmobs.entity.EntityHummingbird, 706
Alex's Mobs, alexsmobs:kangaroo, com.github.alexthe666.alexsmobs.entity.EntityKangaroo, 753
Alex's Mobs, alexsmobs:komodo_dragon, com.github.alexthe666.alexsmobs.entity.EntityKomodoDragon, 717
Alex's Mobs, alexsmobs:leafcutter_ant, com.github.alexthe666.alexsmobs.entity.EntityLeafcutterAnt, 756
Alex's Mobs, alexsmobs:lobster, com.github.alexthe666.alexsmobs.entity.EntityLobster, 716
Alex's Mobs, alexsmobs:mantis_shrimp, com.github.alexthe666.alexsmobs.entity.EntityMantisShrimp, 739
Alex's Mobs, alexsmobs:mimic_octopus, com.github.alexthe666.alexsmobs.entity.EntityMimicOctopus, 767
Alex's Mobs, alexsmobs:mimicube, com.github.alexthe666.alexsmobs.entity.EntityMimicube, 725
Alex's Mobs, alexsmobs:moose, com.github.alexthe666.alexsmobs.entity.EntityMoose, 724
Alex's Mobs, alexsmobs:mosquito_spit, com.github.alexthe666.alexsmobs.entity.EntityMosquitoSpit, 711
Alex's Mobs, alexsmobs:mungus, com.github.alexthe666.alexsmobs.entity.EntityMungus, 738
Alex's Mobs, alexsmobs:orca, com.github.alexthe666.alexsmobs.entity.EntityOrca, 707
Alex's Mobs, alexsmobs:platypus, com.github.alexthe666.alexsmobs.entity.EntityPlatypus, 750
Alex's Mobs, alexsmobs:raccoon, com.github.alexthe666.alexsmobs.entity.EntityRaccoon, 726
Alex's Mobs, alexsmobs:rattlesnake, com.github.alexthe666.alexsmobs.entity.EntityRattlesnake, 712
Alex's Mobs, alexsmobs:roadrunner, com.github.alexthe666.alexsmobs.entity.EntityRoadrunner, 700
Alex's Mobs, alexsmobs:sand_shot, com.github.alexthe666.alexsmobs.entity.EntitySandShot, 741
Alex's Mobs, alexsmobs:seagull, com.github.alexthe666.alexsmobs.entity.EntitySeagull, 768
Alex's Mobs, alexsmobs:seal, com.github.alexthe666.alexsmobs.entity.EntitySeal, 728
Alex's Mobs, alexsmobs:shark_tooth_arrow, com.github.alexthe666.alexsmobs.entity.EntitySharkToothArrow, 715
Alex's Mobs, alexsmobs:shoebill, com.github.alexthe666.alexsmobs.entity.EntityShoebill, 731
Alex's Mobs, alexsmobs:snow_leopard, com.github.alexthe666.alexsmobs.entity.EntitySnowLeopard, 734
