------------------
ID, Tagged objects
------------------
alexsmobs:animal_dictionary_ingredient, alexsmobs:bear_fur
alexsmobs:animal_dictionary_ingredient, alexsmobs:cachalot_whale_tooth
alexsmobs:animal_dictionary_ingredient, alexsmobs:capsid
alexsmobs:animal_dictionary_ingredient, alexsmobs:centipede_leg
alexsmobs:animal_dictionary_ingredient, alexsmobs:cockroach_wing
alexsmobs:animal_dictionary_ingredient, alexsmobs:crocodile_scute
alexsmobs:animal_dictionary_ingredient, alexsmobs:dropbear_claw
alexsmobs:animal_dictionary_ingredient, alexsmobs:emu_feather
alexsmobs:animal_dictionary_ingredient, alexsmobs:gazelle_horn
alexsmobs:animal_dictionary_ingredient, alexsmobs:komodo_spit
alexsmobs:animal_dictionary_ingredient, alexsmobs:moose_antler
alexsmobs:animal_dictionary_ingredient, alexsmobs:raccoon_tail
alexsmobs:animal_dictionary_ingredient, alexsmobs:rattlesnake_rattle
alexsmobs:animal_dictionary_ingredient, alexsmobs:roadrunner_feather
alexsmobs:animal_dictionary_ingredient, alexsmobs:spiked_scute
alexsmobs:animal_dictionary_ingredient, alexsmobs:straddlite
alexsmobs:bald_eagle_tameables, alexsmobs:fish_oil
alexsmobs:bananas, alexsmobs:banana
alexsmobs:crow_foodstuffs, atum:emmer_seeds
alexsmobs:crow_foodstuffs, atum:flax_seeds
alexsmobs:crow_foodstuffs, betterendforge:amber_root_seed
alexsmobs:crow_foodstuffs, betterendforge:blossom_berry_seed
alexsmobs:crow_foodstuffs, betterendforge:blue_vine_seed
alexsmobs:crow_foodstuffs, betterendforge:bulb_vine_seed
alexsmobs:crow_foodstuffs, betterendforge:chorus_mushroom_seed
alexsmobs:crow_foodstuffs, betterendforge:end_lily_seed
alexsmobs:crow_foodstuffs, betterendforge:end_lotus_seed
alexsmobs:crow_foodstuffs, betterendforge:glowing_pillar_seed
alexsmobs:crow_foodstuffs, betterendforge:hydralux_sapling
alexsmobs:crow_foodstuffs, betterendforge:lanceleaf_seed
alexsmobs:crow_foodstuffs, betterendforge:lumecorn_seed
alexsmobs:crow_foodstuffs, betterendforge:shadow_berry
alexsmobs:crow_foodstuffs, blue_skies:fiery_bean_seeds
alexsmobs:crow_foodstuffs, blue_skies:pine_fruit_seeds
alexsmobs:crow_foodstuffs, blue_skies:scalefruit_seeds
alexsmobs:crow_foodstuffs, blue_skies:winter_leaf_seeds
alexsmobs:crow_foodstuffs, farmersdelight:cabbage_seeds
alexsmobs:crow_foodstuffs, farmersdelight:rice
alexsmobs:crow_foodstuffs, farmersdelight:tomato_seeds
alexsmobs:crow_foodstuffs, forbidden_arcanus:golden_orchid_seeds
alexsmobs:crow_foodstuffs, minecraft:beetroot_seeds
alexsmobs:crow_foodstuffs, minecraft:cocoa_beans
alexsmobs:crow_foodstuffs, minecraft:egg
alexsmobs:crow_foodstuffs, minecraft:melon_seeds
alexsmobs:crow_foodstuffs, minecraft:pumpkin_seeds
alexsmobs:crow_foodstuffs, minecraft:sugar
alexsmobs:crow_foodstuffs, minecraft:turtle_egg
alexsmobs:crow_foodstuffs, minecraft:wheat_seeds
alexsmobs:crow_foodstuffs, mowziesmobs:foliaath_seed
alexsmobs:crow_foodstuffs, supplementaries:flax_seeds
alexsmobs:crow_foodstuffs, undergarden:gloomgourd_seeds
alexsmobs:elephant_foodstuffs, alexsmobs:acacia_blossom
alexsmobs:elephant_foodstuffs, alexsmobs:banana
alexsmobs:elephant_foodstuffs, atum:palm_leaves
alexsmobs:elephant_foodstuffs, atum:palm_sapling
alexsmobs:elephant_foodstuffs, betterendforge:dragon_tree_leaves
alexsmobs:elephant_foodstuffs, betterendforge:dragon_tree_sapling
alexsmobs:elephant_foodstuffs, betterendforge:helix_tree_sapling
alexsmobs:elephant_foodstuffs, betterendforge:lacugrove_leaves
alexsmobs:elephant_foodstuffs, betterendforge:lacugrove_sapling
alexsmobs:elephant_foodstuffs, betterendforge:lucernia_leaves
alexsmobs:elephant_foodstuffs, betterendforge:lucernia_sapling
alexsmobs:elephant_foodstuffs, betterendforge:mossy_glowshroom_sapling
alexsmobs:elephant_foodstuffs, betterendforge:pythadendron_leaves
alexsmobs:elephant_foodstuffs, betterendforge:pythadendron_sapling
alexsmobs:elephant_foodstuffs, betterendforge:tenanea_leaves
alexsmobs:elephant_foodstuffs, betterendforge:tenanea_sapling
alexsmobs:elephant_foodstuffs, betterendforge:umbrella_tree_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:dead_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:dead_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:fir_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:fir_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:flowering_oak_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:flowering_oak_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:hellbark_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:hellbark_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:jacaranda_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:jacaranda_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:magic_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:magic_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:mahogany_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:mahogany_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:maple_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:maple_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:orange_autumn_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:orange_autumn_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:origin_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:origin_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:palm_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:palm_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:pink_cherry_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:pink_cherry_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:rainbow_birch_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:rainbow_birch_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:redwood_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:redwood_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:umbran_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:umbran_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:white_cherry_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:white_cherry_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:willow_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:willow_sapling
alexsmobs:elephant_foodstuffs, biomesoplenty:yellow_autumn_leaves
alexsmobs:elephant_foodstuffs, biomesoplenty:yellow_autumn_sapling
alexsmobs:elephant_foodstuffs, blue_skies:bluebright_leaves
alexsmobs:elephant_foodstuffs, blue_skies:bluebright_sapling
alexsmobs:elephant_foodstuffs, blue_skies:cherry_leaves
alexsmobs:elephant_foodstuffs, blue_skies:cherry_sapling
alexsmobs:elephant_foodstuffs, blue_skies:crescent_fruit_leaves
alexsmobs:elephant_foodstuffs, blue_skies:crescent_fruit_sapling
alexsmobs:elephant_foodstuffs, blue_skies:crystallized_leaves
alexsmobs:elephant_foodstuffs, blue_skies:dusk_leaves
alexsmobs:elephant_foodstuffs, blue_skies:dusk_sapling
alexsmobs:elephant_foodstuffs, blue_skies:frostbright_leaves
alexsmobs:elephant_foodstuffs, blue_skies:frostbright_sapling
alexsmobs:elephant_foodstuffs, blue_skies:lunar_leaves
alexsmobs:elephant_foodstuffs, blue_skies:lunar_sapling
alexsmobs:elephant_foodstuffs, blue_skies:maple_leaves
alexsmobs:elephant_foodstuffs, blue_skies:maple_sapling
alexsmobs:elephant_foodstuffs, blue_skies:starlit_leaves
alexsmobs:elephant_foodstuffs, blue_skies:starlit_sapling
alexsmobs:elephant_foodstuffs, byg:araucaria_leaves
alexsmobs:elephant_foodstuffs, byg:araucaria_sapling
alexsmobs:elephant_foodstuffs, byg:aspen_leaves
alexsmobs:elephant_foodstuffs, byg:aspen_sapling
alexsmobs:elephant_foodstuffs, byg:baobab_leaves
alexsmobs:elephant_foodstuffs, byg:baobab_sapling
alexsmobs:elephant_foodstuffs, byg:blooming_witch_hazel_leaves
alexsmobs:elephant_foodstuffs, byg:blue_enchanted_leaves
alexsmobs:elephant_foodstuffs, byg:blue_enchanted_sapling
alexsmobs:elephant_foodstuffs, byg:blue_spruce_leaves
alexsmobs:elephant_foodstuffs, byg:blue_spruce_sapling
